# source,"PS5 capture of race session 49, in-game tyre-wear gauge read off the HUD"
# method,"red fill fraction of each of the four HUD bars; +-4% quantisation (bar is ~24 px tall at 720p, yuv420 halves it)"
# car,Lamborghini Huracan GT3 15
# circuit,"Watkins Glen International, Long Course"
# compound,RS
# tyre_wear_mult,2x
# stint1,laps 1-13 (stop during 13)
# stint2,laps 13-20
video_t_s,race_lap,wear_fl,wear_fr,wear_rl,wear_rr
656,6.2068,0.3288,0.2466,0.3500,0.2643
658,6.2258,0.3288,0.2466,0.3500,0.2643
660,6.2449,0.3453,0.2466,0.3500,0.2534
662,6.264,0.3453,0.2466,0.3500,0.2643
664,6.2831,0.3453,0.2466,0.3500,0.2643
666,6.3021,0.3288,0.2466,0.4013,0.2643
668,6.3212,0.3288,0.2466,0.4013,0.3224
670,6.3403,0.3288,0.2466,0.4013,0.3224
672,6.3593,0.3288,0.2466,0.4013,0.3224
674,6.3784,0.3453,0.2466,0.4013,0.3224
676,6.3975,0.3453,0.2466,0.4013,0.3224
678,6.4166,0.3453,0.2466,0.4013,0.3224
680,6.4356,0.3453,0.2466,0.4013,0.3224
682,6.4547,0.3893,0.2466,0.4013,0.3224
684,6.4738,0.4013,0.2466,0.4178,0.3224
686,6.4928,0.3767,0.2466,0.4013,0.3224
688,6.5119,0.3453,0.2466,0.4178,0.3224
690,6.531,0.3767,0.2466,0.4178,0.3224
692,6.5501,0.3453,0.2466,0.4178,0.3224
694,6.5691,0.3453,0.2466,0.4013,0.3224
696,6.5882,0.4013,0.2466,0.4178,0.3224
698,6.6073,0.4013,0.2466,0.4178,0.3224
700,6.6264,0.4013,0.2466,0.4178,0.3224
702,6.6454,0.4013,0.2466,0.4178,0.3356
704,6.6645,0.4013,0.2466,0.4178,0.3356
706,6.6836,0.4013,0.2466,0.4178,0.3356
708,6.7026,0.4013,0.2466,0.4178,0.3356
710,6.7217,0.4013,0.2466,0.4013,0.3356
712,6.7408,0.4013,0.2466,0.4013,0.3356
714,6.7599,0.4013,0.2466,0.4178,0.3356
716,6.7789,0.4013,0.2571,0.4178,0.3356
718,6.798,0.4013,0.2466,0.4178,0.3071
720,6.8171,0.4013,0.2571,0.4178,0.3356
722,6.8361,0.4013,0.2571,0.4178,0.3224
724,6.8552,0.3453,0.2571,0.4178,0.3356
726,6.8743,0.4013,0.2466,0.4178,0.3356
728,6.8934,0.4013,0.2466,0.4178,0.3356
730,6.9124,0.4013,0.2466,0.4178,0.3356
732,6.9315,0.4013,0.2571,0.4178,0.3356
734,6.9506,0.4178,0.2571,0.3929,0.3356
736,6.9696,0.4178,0.2571,0.4178,0.3356
738,6.9887,0.4013,0.2571,0.4178,0.3356
740,7.0078,0.4178,0.2571,0.4178,0.3356
742,7.027,0.4178,0.2571,0.4178,0.3356
744,7.0461,0.4013,0.2571,0.4178,0.3356
746,7.0653,0.4295,0.2727,0.4178,0.3356
748,7.0844,0.4013,0.2466,0.4178,0.3356
750,7.1036,0.4178,0.2571,0.4178,0.3356
752,7.1227,0.4178,0.2877,0.4178,0.3356
754,7.1418,0.4178,0.2877,0.4178,0.3356
756,7.161,0.4178,0.3020,0.4178,0.3490
758,7.1801,0.4178,0.2571,0.4178,0.3356
760,7.1993,0.4178,0.2571,0.4178,0.3356
762,7.2184,0.4178,0.2571,0.4178,0.3356
764,7.2376,0.4178,0.2571,0.4178,0.3356
766,7.2567,0.4178,0.2877,0.4178,0.3224
768,7.2759,0.3885,0.2877,0.4178,0.3356
770,7.295,0.4178,0.2877,0.4357,0.3356
772,7.3142,0.4178,0.2877,0.4357,0.3356
774,7.3333,0.4178,0.2571,0.4178,0.3356
776,7.3525,0.4178,0.2877,0.4357,0.3356
778,7.3716,0.4178,0.2877,0.4357,0.3356
780,7.3908,0.4178,0.2877,0.4357,0.3356
782,7.4099,0.4178,0.2877,0.4178,0.3356
784,7.429,0.4178,0.2877,0.4178,0.3356
786,7.4482,0.4178,0.2877,0.4357,0.3356
788,7.4673,0.4178,0.3290,0.4903,0.3490
790,7.4865,0.4178,0.2877,0.4589,0.3356
792,7.5056,0.4178,0.3158,0.4357,0.3356
794,7.5248,0.4178,0.3158,0.4589,0.3224
796,7.5439,0.4178,0.3158,0.4589,0.3356
798,7.5631,0.4178,0.3158,0.4589,0.3356
800,7.5822,0.4357,0.3158,0.4589,0.3356
802,7.6014,0.4357,0.3158,0.4589,0.3618
804,7.6205,0.4357,0.3158,0.4357,0.3500
806,7.6397,0.4357,0.3158,0.4357,0.3500
808,7.6588,0.4357,0.3158,0.4357,0.3500
810,7.678,0.4357,0.3158,0.4589,0.3500
812,7.6971,0.4357,0.3158,0.4357,0.3356
814,7.7162,0.4357,0.3158,0.4589,0.3356
816,7.7354,0.4357,0.3158,0.4803,0.3356
818,7.7545,0.4357,0.3158,0.4803,0.3356
820,7.7737,0.4357,0.3158,0.4803,0.3356
822,7.7928,0.4178,0.3158,0.4803,0.3500
824,7.812,0.4178,0.3158,0.4803,0.3356
826,7.8311,0.4178,0.3288,0.4803,0.3356
828,7.8503,0.4178,0.3288,0.4803,0.3356
830,7.8694,0.4178,0.3288,0.4803,0.3500
832,7.8886,0.4357,0.3288,0.4803,0.3500
834,7.9077,0.4178,0.3158,0.4803,0.3767
836,7.9269,0.4357,0.3288,0.4803,0.3500
838,7.946,0.4589,0.3288,0.4803,0.3500
840,7.9652,0.4589,0.3288,0.4803,0.3500
842,7.9843,0.4357,0.3288,0.4803,0.3500
844,8.0034,0.4357,0.3288,0.4803,0.3500
846,8.0222,0.4357,0.3288,0.4803,0.3767
848,8.041,0.4589,0.3288,0.4803,0.3500
850,8.0598,0.4589,0.3288,0.4803,0.3500
852,8.0787,0.4589,0.3288,0.5000,0.3500
854,8.0975,0.4698,0.3423,0.5101,0.3636
856,8.1163,0.4357,0.3288,0.5000,0.3500
858,8.1351,0.4357,0.3288,0.5000,0.3500
860,8.154,0.4357,0.3288,0.5000,0.4129
862,8.1728,0.4803,0.3288,0.5000,0.3767
864,8.1916,0.4803,0.3288,0.5000,0.3767
866,8.2104,0.4803,0.3288,0.5000,0.3500
868,8.2292,0.4803,0.3288,0.5000,0.3500
870,8.2481,0.4803,0.3288,0.5000,0.3767
872,8.2669,0.4803,0.3288,0.5000,0.3767
874,8.2857,0.4803,0.3288,0.5000,0.3500
876,8.3045,0.4803,0.3288,0.5000,0.4013
878,8.3233,0.4803,0.3288,0.5000,0.4013
880,8.3422,0.4803,0.3288,0.5000,0.4013
882,8.361,0.4803,0.3288,0.5000,0.4013
884,8.3798,0.4803,0.3288,0.4803,0.4013
886,8.3986,0.5000,0.3288,0.5000,0.3500
888,8.4174,0.5000,0.3288,0.5000,0.3500
890,8.4363,0.5000,0.3288,0.5000,0.3500
